outcome,treatment,mediator,n,nde,nde_ci_lower,nde_ci_upper,nie,nie_ci_lower,nie_ci_upper,total_effect,share_mediated
ed_visit_rate_per_year,procedural_disenrolled,signal_score_baseline,39015,-0.01607742686240281,-0.02265572398862439,-0.00806878271558405,-0.0013875309432582184,-0.0037052971907649505,-0.0001245422489437481,-0.01746495780566103,0.07944656716024066
acs_admit_rate_per_year,procedural_disenrolled,signal_score_baseline,39015,-0.013378965458001175,-0.030665832759530096,0.006426510677497051,-0.0016567823305527302,-0.004560191156144605,0.00015586560128247445,-0.015035747788553905,0.1101895531803194
