subgroup,n,model,auroc,auprc,sensitivity_top_decile,sensitivity_lo,sensitivity_hi,specificity_top_decile,calibration_intercept,calibration_slope,ece
hispanic,1830,cost_based_temporal,0.7108199627875333,0.1492654376902032,0.2920353982300885,0.2159921568627451,0.3720992083127165,0.908561444379732,0.0442974612826298,0.7864707705294314,0.0395594143295063
hispanic,1830,signal_temporal,0.7145180160910417,0.2212101374806919,0.3097345132743362,0.24,0.3963963963963964,0.9138031450203844,0.0517525508174683,0.2541157819770832,0.0627818476277713
multiracial,535,cost_based_temporal,0.6865841745359818,0.141108144357461,0.2432432432432432,0.1176470588235294,0.4047619047619047,0.9036144578313252,0.0478951202394084,0.9403639869930944,0.0465466149988602
multiracial,535,signal_temporal,0.7105448822316294,0.2239296603134637,0.2972972972972973,0.1568474264705882,0.4411764705882353,0.9136546184738956,0.061405061681641,0.2962358614556017,0.0541568592916604
nh_asian,2297,cost_based_temporal,0.7259951549854098,0.0985651146006339,0.3170731707317073,0.2285636645962732,0.4267142857142857,0.9051918735891648,0.0222493824513004,1.041628214542659,0.022786880023785
nh_asian,2297,signal_temporal,0.7481748609811154,0.1374555338757944,0.3658536585365853,0.2837314427103159,0.4864953769559033,0.909706546275395,0.0327783791928523,0.1676751399180606,0.0269517681901468
nh_black,11697,cost_based_temporal,0.6966305286085506,0.1962627731194288,0.2866666666666667,0.2617642123963679,0.3155651913875598,0.9145299145299144,0.0687548649358149,1.1660974867041949,0.0717477515155469
nh_black,11697,signal_temporal,0.7090190842938094,0.2499527227084912,0.3304761904761905,0.3058286806934321,0.3552786861546288,0.922701230393538,0.0806917007424945,0.3423727799499039,0.0632606851742403
nh_nhpi,611,cost_based_temporal,0.8043409877319911,0.1734553880672355,0.1515151515151515,0.0624526515151515,0.375,0.9013840830449829,0.0304277733559739,1.4249748268836948,0.0395136778115501
nh_nhpi,611,signal_temporal,0.8541207927021075,0.2620590881900154,0.3939393939393939,0.2727272727272727,0.6297222222222222,0.9152249134948096,0.0439823882859206,0.3064092795891718,0.0441352039437416
nh_white,18711,cost_based_temporal,0.6890034578792208,0.1538347419956521,0.2619899785254116,0.2399932785660941,0.2846538959325614,0.909668476377498,0.0563304218018068,0.8796402863905637,0.0538221475116558
nh_white,18711,signal_temporal,0.702245149158302,0.1916984094166537,0.3092340730136005,0.285606844155015,0.3295981756032994,0.9168303107312,0.0667407984054903,0.2474607140180735,0.0604463810042092
unknown,3334,cost_based_temporal,0.6987609847304456,0.0924685512474328,0.288,0.2132284858387799,0.3697561701846092,0.9040199439077594,0.0276672899703392,0.7746009931252507,0.0248082787623659
unknown,3334,signal_temporal,0.7253948270489251,0.1510102121344765,0.392,0.3100528541226215,0.4778950155056349,0.9111872857588034,0.0332450110308747,0.2527362113842056,0.0248650334079413
