race,n,auroc,auprc,sens_top10,spec_top10,cal_intercept,cal_slope,ece
hispanic,1830,0.6567459192561629,0.20052217796906907,0.30973451327433627,0.9132207338380897,0.010870862077716426,0.57387798153378,0.03232240437158469
multiracial,535,0.5670791273200911,0.18944773171529145,0.24324324324324326,0.9096385542168675,0.025137028982510363,0.4804781892954783,0.04796436915887852
nh_asian,2297,0.5806254473379948,0.09357377528557939,0.23170731707317074,0.9024830699774267,0.00711232238797653,0.3416333395974593,0.050363245537657815
nh_black,11697,0.6409407523693239,0.2248010481139385,0.2752380952380952,0.9171597633136095,0.02428770302461694,0.6581085562133148,0.026468592374113024
nh_nhpi,611,0.6324577959526057,0.18040949727728417,0.30303030303030304,0.9100346020761245,0.008883860291716839,0.5107987978789742,0.047248363338788874
nh_white,18711,0.6664086907463302,0.18899447859796065,0.28990694345025053,0.9149820954141158,0.019873837039168812,0.5555245146622028,0.025854610924055374
unknown,3334,0.654991586163914,0.1517921622343732,0.352,0.9086942972888751,-0.004126763985775231,0.4883771484634,0.04772701709658068
