outcome,subgroup_var,subgroup_level,n,cate_mean,cate_ci_lower,cate_ci_upper
ed_visit_rate_per_year,race_ethnicity,hispanic,1830,-0.021027560575240106,-0.15205395857717777,0.08020713718585736
ed_visit_rate_per_year,race_ethnicity,multiracial,535,-0.02434169179264398,-0.14919936167265893,0.0633161229158265
ed_visit_rate_per_year,race_ethnicity,nh_asian,2297,-0.017368112255193958,-0.11409594303062498,0.07375986238840591
ed_visit_rate_per_year,race_ethnicity,nh_black,11697,-0.01845256233876199,-0.16660514451876066,0.11590916390895609
ed_visit_rate_per_year,race_ethnicity,nh_nhpi,611,-0.017468275529105383,-0.12949331806551945,0.06686403698380315
ed_visit_rate_per_year,race_ethnicity,nh_white,18711,-0.02324872701698146,-0.18277613070094953,0.09852221561227129
ed_visit_rate_per_year,race_ethnicity,unknown,3334,-0.016230040584140498,-0.11296315254556229,0.0940272736924996
ed_visit_rate_per_year,urbanicity,metro,39015,-0.020685080593591733,-0.16456110084331732,0.10011613706396669
