race,n,auroc,auprc,sens_top10,spec_top10,cal_intercept,cal_slope,ece
hispanic,1202,0.6662780015546604,0.23962875398573927,0.3258426966292135,0.9164420485175202,0.01244889697108182,0.6548998305241898,0.030906821963394348
multiracial,370,0.5950292397660818,0.22432849102774138,0.2857142857142857,0.9122807017543859,0.012545482932649621,0.7080915896906296,0.058682432432432444
nh_asian,1578,0.5352349520666352,0.08425021055937625,0.1746031746031746,0.8996699669966997,0.01657636314390672,0.2687118865594562,0.053484434410646396
nh_black,8987,0.6322996637200912,0.22795407729705502,0.27304550758459745,0.9178351783517835,0.028002657664587705,0.6602086088429566,0.027000632858573497
nh_nhpi,379,0.6145197740112994,0.18335867746633525,0.24,0.9096045197740112,0.012618005997253226,0.5882069490547439,0.04947229551451186
nh_white,14112,0.6556530978490196,0.1967968777958833,0.28408091468777485,0.9155298651252408,0.022798985980393427,0.5659862261795566,0.027880084325396827
unknown,2428,0.6382022670682465,0.14014628270958318,0.31958762886597936,0.9077649077649078,0.0008078295996195792,0.45024314678450506,0.046986331342668865
