subgroup,n,model,auroc,auroc_lo,auroc_hi,auprc,sensitivity_top_decile,sensitivity_lo,sensitivity_hi,specificity_top_decile,calibration_intercept,calibration_slope,ece,window
hispanic,564,signal_retrained,0.7089916506101477,0.6227573915847161,0.7939178818251498,0.24176690792617683,0.3333333333333333,0.1922872340425532,0.45101540616246494,0.9190751445086706,0.024387155253004188,0.837833916812118,0.021555226357283856,full_test_cohort
hispanic,564,cost_based,0.735088846071505,0.6504983684986011,0.8150404115301552,0.23570044537115686,0.3333333333333333,0.18746366279069768,0.45,0.905587668593449,0.05618437075067463,0.9000417727766612,0.053563047559449316,full_test_cohort
multiracial,173,signal_retrained,0.4826038159371493,0.30414351851851856,0.6720331996434937,0.07180113859843336,0.09090909090909091,0.0,0.3,0.8950617283950617,0.07056728854498573,-0.11035761926270132,0.06097455353965994,full_test_cohort
multiracial,173,cost_based,0.5808080808080809,0.41325858276011646,0.7533775252525252,0.0851924918591319,0.09090909090909091,0.0,0.4,0.8950617283950617,0.05946422684239354,0.21659367788193215,0.057059673580414826,full_test_cohort
nh_asian,709,signal_retrained,0.776578073089701,0.6494793456676978,0.8865004759448628,0.17861563065960617,0.47619047619047616,0.25,0.6818181818181818,0.9113372093023255,-0.009723927073649833,0.6523480173041685,0.031062226381273716,full_test_cohort
nh_asian,709,cost_based,0.7562638427464009,0.6524476268708077,0.8555590433641368,0.09200833138384516,0.2857142857142857,0.1111111111111111,0.5,0.8997093023255814,0.02286853407597016,0.5040065584658562,0.0169615448436074,full_test_cohort
nh_black,3554,signal_retrained,0.7149504600141543,0.683278161362287,0.7463259641556295,0.2463710549838157,0.321656050955414,0.2736006411250711,0.36709506587445107,0.9212962962962963,0.017143341254092184,0.833745150940797,0.010004165524445979,full_test_cohort
nh_black,3554,cost_based,0.6892260360147835,0.6602136912189163,0.7204844901076249,0.18509257870820373,0.267515923566879,0.23099719429506663,0.31975211889004995,0.9145061728395062,0.06967336564264588,0.9688556296223408,0.06907295838988381,full_test_cohort
nh_nhpi,181,signal_retrained,0.8830409356725146,0.8157885229692728,0.942515227021041,0.32887237762237764,0.4,0.1,0.7272727272727273,0.9122807017543859,-0.019930889279159564,1.1888390185377697,0.038656112822853236,full_test_cohort
nh_nhpi,181,cost_based,0.7529239766081872,0.6543684373108419,0.848165886113589,0.11174496377135205,0.1,0.0,0.42857142857142855,0.8830409356725146,0.04554646285144477,0.4795748402587057,0.048261293467663315,full_test_cohort
nh_white,5508,signal_retrained,0.7356952218744024,0.7097398726483692,0.7624418999015724,0.22942727966346282,0.3366093366093366,0.2986040672235481,0.3846354166666667,0.9188394432464223,0.013822984620995939,0.7851588512663318,0.01075355022057273,full_test_cohort
nh_white,5508,cost_based,0.6902445297857962,0.6623972786372795,0.7176864924774335,0.1535246899414641,0.257985257985258,0.21499492840095466,0.2976530460190866,0.9088414036463438,0.0559689371516922,0.795705740179168,0.051367129095646974,full_test_cohort
unknown,1016,signal_retrained,0.7362149961945255,0.6400182771506456,0.824324154583163,0.2815629868478547,0.4358974358974359,0.2857142857142857,0.5778070175438595,0.9129989764585466,-0.01988564593356442,0.9780771594623344,0.02237306691075521,full_test_cohort
