race,n,auroc,auprc,sens_top10,spec_top10,cal_intercept,cal_slope,ece
hispanic,628,0.6033043598233995,0.11458363641365335,0.2916666666666667,0.9056291390728477,0.014842843312012396,0.2984043077325449,0.04341660031847134
multiracial,165,0.464031339031339,0.16626767941409432,0.1111111111111111,0.8974358974358975,0.03465866465773408,0.2047027012519038,0.09328598484848485
nh_asian,719,0.6920676691729322,0.1574195984427126,0.3684210526315789,0.9071428571428571,-0.01145767794435067,0.49438090476368796,0.05020210361613353
nh_black,2710,0.6671648335360997,0.21280410497682378,0.31088082901554404,0.9145808502185141,0.013244224540963336,0.6363028771881788,0.026423547047970498
nh_nhpi,232,0.666015625,0.20014132660103057,0.25,0.8928571428571429,0.0018985177504784317,0.38556806538165145,0.06057381465517242
nh_white,4599,0.6971515060187566,0.15743424135495632,0.31153846153846154,0.9117308135515095,0.012446431070122894,0.5007241686298718,0.031513644270493586
unknown,906,0.70501138952164,0.20342662840471742,0.39285714285714285,0.908883826879271,-0.017075838287673197,0.595170693608395,0.050105201434878587
